"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"700_146.09_4.4",700,146.092402242703,4.4166703,"C5H8N2O2"
"702_254.16_4.4",702,254.161111578518,4.4393826,"C11H16N4O2"
"704_233.16_4.5",704,233.160783518685,4.4590597,"C9H17N3O3"
"706_283.14_4.5",706,283.143442148151,4.4634957,"C9H19N3O4S"
"710_244.09_4.6",710,244.092780604575,4.5711894,"C7H17F2N3O3S"
"712_415.21_4.5",712,415.211486186954,4.5302434,"C17H32N6O5S"
"714_338.14_4.6",714,338.14337202893,4.579886,"C12H21N5O5"
"72_135.08_0.6",72,135.080582223951,0.5715755,"C9H12O2"
"720_216.17_4.6",720,216.170695199162,4.634943,"C10H18N2O2"
"729_369.35_4.8",729,369.347595426214,4.751933,"C22H44N2O2"
"73_432.24_0.6",73,432.23848323694,0.57196575,"C24H30O6"
"730_188.07_4.8",730,188.07063941556,4.750214,"C11H6O2"
"731_205.1_4.8",731,205.097261765053,4.7514725,"C11H9NO2"
"732_351.34_4.8",732,351.3369028253,4.7522974,"C22H39NO"
"736_209.1_4.8",736,209.103369476761,4.7725058,"C9H14N4O3"
"737_133.03_4.8",737,133.031868353413,4.7773457,"C5H10O3S"
"739_150.06_4.8",739,150.058355290519,4.7783504,"C5H8O2S"
"74_281.14_0.6",74,281.138800274339,0.5723612,"C13H15N2O4"
"743_202.16_4.8",743,202.155056411789,4.7940507,"C9H16N2O2"
"745_343.33_4.8",745,343.331895411589,4.815431,"C20H39NO2"
"746_325.32_4.8",746,325.321255082023,4.8124843,"C20H42N2O2"
"75_397.2_0.6",75,397.201361681522,0.57236016,"C24H30O6"
"754_145.11_4.9",754,145.108393764965,4.916063,"C5H9N3O"
"755_156.04_4.9",755,156.042156161843,4.926265,NA
"756_453.17_4.9",756,453.167527849964,4.926235,"C24H22ClN3O3"
"76_415.21_0.6",76,415.21226907358,0.5727541,"C24H32O7"
"761_542.73_4.9",761,542.731786644379,4.929853,NA
"764_458.77_4.9",764,458.770061301539,4.930422,NA
"765_208.88_4.9",765,208.884021156796,4.9310513,NA
"767_122.92_4.9",767,122.924678268413,4.9310718,NA
"768_206.89_4.9",768,206.885951613582,4.9310718,NA
"769_290.85_4.9",769,290.847195704435,4.9310718,NA
"77_418.22_0.6",77,418.219453949015,0.5735329,"C18H37NO7"
"770_292.85_4.9",770,292.845023070998,4.9310718,NA
"778_240.11_5.1",778,240.110827867077,5.051532,"C9H10F4N2"
"779_701.41_5.1",779,701.409972732324,5.0521793,"C32H56N6O11"
"782_325.32_5.2",782,325.321231438775,5.2186084,"C20H37NO"
"783_124.06_5.2",783,124.05868357482,5.2339215,NA
"784_256.1_5.2",784,256.100668720101,5.232841,"C12H14O3S"
"785_255.1_5.2",785,255.097529317415,5.244729,"C11H14N2O5"
"786_123.06_5.2",786,123.055464836121,5.2456684,"C6H3NO"
"79_846.44_0.6",79,846.443575970113,0.57428956,"C54H59N3O6"
"791_146.17_5.4",791,146.165177150257,5.435866,"C7H16N2"
"795_160.18_5.4",795,160.180824768325,5.4297748,"C8H18N2"
